作答ID,用户ID,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,音乐A,您对音频A的感受评价是？,音乐B,您对音频B的感受评价是？,音乐C,您对音频C的感受评价是？,音乐D,您对音频D的感受评价是？,音乐E,您对音频E的感受评价是？,音乐F,您对音频F的感受评价是？,音乐G,您对音频G的感受评价是？,音乐H,您对音频H的感受评价是？,音乐I,您对音频I的感受评价是？,音乐J,您对音频J的感受评价是？,音乐Z,您对音频Z的感受评价是？,音乐K,您对音频K的感受评价是？,音乐L,您对音频L的感受评价是？,音乐M,您对音频M的感受评价是？,音乐N,您对音频N的感受评价是？,音乐O,您对音频O的感受评价是？,音乐P,您对音频P的感受评价是？,在刚才的音频片段中，你是否听到了人声演唱或说唱？如果有，请判断主要是男声还是女声。,音乐Q,您对音频Q的感受评价是？,音乐R,您对音频R的感受评价是？,音乐S,您对音频S的感受评价是？,音乐T,您对音频T的感受评价是？,音乐U,您对音频U的感受评价是？,音乐V,您对音频V的感受评价是？,音乐v,您对音频v的感受评价是？,音乐W,您对音频W的感受评价是？,音乐X,您对音频X的感受评价是？,音乐Y,您对音频Y的感受评价是？,下面是一些描述人们性格特点的句子，请根据每个句子与您的性格相符程度选择相应的数字。??例如：“在集体活动中，我是个活跃分子”非常恰当的描述您，那么请您在“6=完全同意”上画圈，依此类推。每个人的性格各不相同，所以答案没有对错之分，请根据您的实际情况作答。1=完全不符合，2=大部分不符合，3=有点不符合，4=有点符合，5=大部分符合，6=完全符合,我常感到害怕,一旦确定了目标，我会坚持努力地实现它,我觉得大部分人基本上是心怀善意的,我头脑中经常充满生动的画面,我对人多的聚会感到乏味,此题请选择1,有时我觉得自己一无是处,我常常是仔细考虑之后才做出决定,我不太关心别人是否受到不公正的待遇,我是个勇于冒险，突破常规的人,在热闹的聚会上，我常常表现主动并尽情玩耍,别人一句漫不经心的话，我常会联系在自己身上,别人认为我是个慎重的人,我时常觉得别人的痛苦与我无关,我喜欢冒险,我尽量避免参加人多的聚会和嘈杂的环境,在面对压力时，我有种快要崩溃的感觉,我喜欢一开头就把事情计划好,我是那种只照顾好自己，不替别人担忧的人,我对许多事情有着很强的好奇心,有我在的场合一般不会冷场,我常担忧一些无关紧要的事情,我工作或学习很勤奋,虽然社会上有些骗子，但我觉得大部分人还是可信的,我身上具有别人没有的冒险精神,在一个团体中，我希望处于领导地位,我常常感到内心不踏实,我是个倾尽全力做事的人,当别人向我诉说不幸时，我常感到难过,我渴望学习一些新东西，即使它们与我的日常生活无关,别人多认为我是一个热情和友好的人,我常担心有什么不好的事情要发生,在工作上，我常只求能应付过去便可,尽管人类社会存在着一些阴暗的东西（如战争、罪恶、欺诈），我仍然相信人性总的来说是善良的,我的想象力相当丰富,我喜欢参加社交与娱乐聚会,我很少感到忧郁或沮丧,做事讲究逻辑和条理是我的一个特点,我常为那些遭遇不幸的人感到难过,我很愿意也很容易接受那些新事物、新观点、新想法,我希望成为领导者而不是被领导者,请问您在音乐知识或演奏技能方面的熟悉程度如何？,您对音乐的接触频率是？,您的性别是？,您的年龄是？,您的主要职业是？,您从小到18岁主要在哪个城市/地区生活？,您目前或过去半年主要居住地是哪里？,,
mn9NlY8EZgx,G7X2KRoe,2025/3/22 18:45,2025/3/22 18:59,880,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,122.96.45.124,118.7938714,31.9887589,江苏省,南京市,MOBILE,iOS,Apple WebKit,414px*896px,"S4,C1,M4,M3,U4,S5,S2,M1,C4,test1,S3,test2,M5,I2,C3,U5,C2,U1,M2,C5,U3,S1,I5,U2,I1,I4,I3",1,4,2,3,2,5,2,3,2,5,5,6,1,5,1,5,1,4,2,5,2,5,2,2,2,3,2,5,2,5,2,6,2,4,出现了男声,2,3,2,2,2,2,2,3,2,3,7,5,1,6,1,6,2,5,1,4,1,4,5,5,3,3,1,3,4,3,4,3,4,4,3,3,2,3,5,4,5,3,4,4,5,2,2,4,4,3,4,5,4,3,5,3,4,2,5,6,5,3,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),信阳,南京,-1,0
oB1GloNE5VW,KLO1QrdM,2025/3/22 18:34,2025/3/22 18:58,1486,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.104.122.160,114.261563,30.529819,湖北省,武汉市,MOBILE,Android,WeChat,359px*798px,"S1,U1,S2,test1,U4,S3,M4,I1,M2,C2,I2,M3,M5,I3,U5,C1,test2,M1,I5,C3,C4,U2,U3,S5,S4,I4,C5",1,6,1,2,1,4,2,5,1,6,1,5,1,6,1,5,1,6,1,6,1,6,1,3,1,5,1,5,1,7,1,5,1,1,出现了男声,1,2,1,2,1,1,1,3,1,3,1,5,1,5,1,2,1,3,1,6,1,2,6,6,5,2,1,1,5,2,6,5,1,5,1,6,2,2,6,2,5,5,1,6,6,5,6,2,6,5,5,5,2,2,5,6,5,6,5,5,5,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),湖北省武汉市,湖北省武汉市,0,0
Q481XwB3vRW,kM1jmVE7,2025/3/22 18:34,2025/3/22 18:58,1453,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,101.27.181.170,115.741354,39.22661,河北省,保定市,MOBILE,Android,Chrome,360px*800px,"S5,U3,U4,test1,test2,C1,M2,C2,S2,C5,I2,M5,U5,I5,I1,M3,S4,U2,I3,C4,S1,M1,I4,C3,U1,S3,M4",1,6,1,5,1,5,1,5,1,5,1,5,1,7,1,7,1,7,1,7,1,6,1,4,1,6,1,5,1,7,1,6,1,6,出现了男声,1,3,1,5,1,4,1,6,1,5,1,6,1,7,1,7,1,5,1,7,1,3,6,6,5,3,1,2,5,2,4,4,5,5,1,4,2,5,6,1,4,4,5,5,6,5,5,5,6,5,5,6,4,2,5,5,4,4,5,5,5,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),北京市海淀区,北京市海淀区,-1,1
vN9wDamZk2A,8MZJRzvM,2025/3/22 18:33,2025/3/22 18:58,1500,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,121.231.176.7,119.954986,31.810811,江苏省,常州市,MOBILE,Android,Chrome,370px*816px,"S5,C5,I5,I3,U4,S3,test1,M1,I4,I1,I2,U5,C3,M3,C2,M5,S2,U1,M4,S1,C1,C4,M2,U2,test2,S4,U3",1,7,1,4,1,3,1,5,1,3,1,5,1,5,1,5,1,6,1,5,1,6,1,2,1,6,1,5,1,5,1,6,1,4,出现了男声,1,2,1,2,1,1,1,2,1,4,1,6,1,6,1,5,1,3,1,5,1,2,5,5,4,3,1,1,5,2,4,4,1,5,2,4,3,2,5,2,4,4,1,6,5,4,6,2,5,5,5,5,2,2,5,4,3,2,5,5,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),江苏省常州市,广东省深圳市,0,-1
Q481X5qO0pA,xMoDq6B7,2025/3/22 18:33,2025/3/22 18:58,1457,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,36.57.125.231,117.240876,31.829398,安徽省,合肥市,MOBILE,Android,Chrome,320px*694px,"S3,M2,S4,test2,S1,C2,M3,I1,I4,C1,test1,U1,C5,C4,U3,M4,C3,U5,S2,M1,U4,S5,I2,U2,I5,M5,I3",1,5,1,7,1,5,1,5,1,7,1,6,1,6,1,4,1,7,1,6,1,5,1,5,1,6,1,6,1,7,1,4,1,6,出现了男声,1,4,1,6,1,7,1,6,1,4,1,5,1,6,1,5,1,6,1,5,1,2,5,6,5,3,1,3,5,3,4,5,3,5,3,2,2,4,5,3,6,5,4,5,5,5,4,3,6,5,6,6,2,3,5,6,5,5,5,5,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,女,55-64岁,普通职员(公司/企业/事业单位/党政机关),安徽省合肥市,安徽省合肥市,-1,1
NRQP6mE4GpW,xLV4rkpM,2025/3/22 18:34,2025/3/22 18:57,1368,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,111.55.35.131,102.853751,24.828946,云南省,昆明市,MOBILE,Android,Chrome,360px*800px,"S1,M5,C2,S3,M2,M4,M3,S4,C5,I1,test2,U4,test1,I4,C4,S5,C3,U2,I2,I3,S2,U1,U3,I5,U5,M1,C1",1,4,1,5,1,3,1,3,1,5,1,5,1,6,1,5,1,2,1,4,1,4,4,3,1,5,1,2,1,4,1,3,1,2,出现了男声,1,2,1,1,1,1,1,3,1,3,1,4,1,3,1,3,1,1,1,4,1,4,5,2,5,5,1,4,6,4,5,2,4,5,5,4,5,5,5,5,6,3,3,5,2,5,2,3,5,3,5,4,4,2,1,6,2,2,6,2,5,2,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,18-25岁,初高中学生/大学生/研究生/博士,大理,昆明,1,0
nN9ZGX9WoA0,me3BP5EL,2025/3/22 18:33,2025/3/22 18:56,1377,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,119.143.132.125,113.6669598,22.9372146,广东省,东莞市,MOBILE,iOS,Apple WebKit,390px*844px,"S4,M1,C2,I2,S1,C3,test2,S3,I4,M5,U2,C5,I3,U4,C4,C1,S2,test1,U1,I5,I1,S5,U3,M4,U5,M2,M3",1,4,1,4,1,3,1,1,1,5,1,3,1,3,1,5,1,4,1,5,1,4,1,2,1,3,1,4,1,5,1,3,1,5,出现了男声,1,2,1,2,1,1,1,1,1,1,1,3,1,3,1,4,1,3,1,5,1,2,5,5,4,2,1,4,6,2,3,4,3,4,2,3,3,4,4,3,5,3,4,4,6,3,4,2,5,4,5,4,3,3,5,4,5,3,3,5,4,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天 1~2 小时左右,女,18-25岁,个体经营/私营企业/创业公司老板,江西赣州,广东东莞,0,1
bNqoW8ywlZn,p7YkAqwe,2025/3/22 18:33,2025/3/22 18:56,1367,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.101.171.132,124.06468,41.652294,辽宁省,抚顺市,MOBILE,Android,Chrome,360px*800px,"S5,C5,I4,U5,I2,C2,S2,M3,U1,S1,C4,I5,M1,test2,I1,U2,S3,U4,S4,M5,U3,C1,M4,I3,M2,C3,test1",1,5,1,3,1,5,1,3,1,4,1,5,1,5,1,5,1,6,1,4,1,5,1,5,1,6,1,4,1,5,1,4,1,5,出现了男声,1,4,1,4,1,5,1,4,1,4,1,5,1,4,1,6,1,5,1,4,1,2,6,5,4,3,1,2,5,2,4,4,2,5,3,4,4,2,4,2,3,4,3,5,5,4,4,2,5,3,3,5,3,1,5,4,4,3,4,3,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,女,18-25岁,商业/服务业从业人员,辽宁省抚顺市新抚区,辽宁省抚顺市新抚区,1,-1
oB1GlWv2n2n,kMrbXYM9,2025/3/22 18:46,2025/3/22 18:56,587,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,110.228.234.153,114.456033,38.079853,河北省,石家庄市,MOBILE,Android,Chrome,534px*854px,"C1,I4,C3,U3,test1,S4,S3,S5,S1,M4,I1,M1,U5,I3,U1,S2,I5,C2,U4,C5,I2,M2,U2,M3,M5,test2,C4",1,5,1,3,1,4,1,3,1,4,3,4,1,5,1,5,1,5,1,5,1,5,1,3,1,5,1,4,1,5,1,4,1,1,出现了男声,1,1,1,1,1,1,1,3,1,4,1,3,1,3,1,4,1,3,1,4,1,2,5,5,4,3,1,2,4,2,4,5,2,5,3,4,3,2,6,2,4,4,2,5,4,4,4,2,5,5,4,5,2,2,5,4,4,4,4,4,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),北京,北京,0,0
XOAyqvzQ2vG,kM1ooZDL,2025/3/22 18:32,2025/3/22 18:56,1419,1,UB36Fz,音乐片段感受调研问卷_见数数据库3,223.160.159.185,120.100182,33.329742,江苏省,苏州市,MOBILE,Android,Chrome,393px*816px,"I5,C4,U4,U3,M3,I3,C1,I2,I1,S4,M4,S5,S3,test2,C5,C3,U1,I4,U5,S2,S1,test1,C2,U2,M5,M1,M2",1,6,1,7,1,6,1,7,1,5,1,7,1,7,1,7,1,7,2,5,1,6,1,7,2,5,1,6,1,6,1,6,1,4,出现了男声,1,4,1,4,1,4,1,5,1,5,1,7,1,7,1,5,1,5,1,5,1,1,6,6,6,1,1,1,6,1,3,6,1,4,1,3,1,1,6,1,6,6,1,6,6,2,4,1,6,6,6,6,1,1,5,6,6,5,6,6,5,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),盐城市,盐城市,0,-1
